Layer 1 - Generation Transfomers (Step-Up Transformers),,,,,,,,,,,,,
Transformer ID,From,To,Description,Hv Level (kv),LV Level (kv),,Coordinates,Notes,,,,,
GT-1,GEN-1,TX-1,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-2,GEN-1,TX-2,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-3,GEN-1,TX-3,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-4,GEN-2,TX-4,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-5,GEN-2,TX-5,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-6,GEN-2,TX-6,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-7,GEN-3,TX-7,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-8,GEN-3,TX-8,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-9,GEN-3,TX-9,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-10,GEN-4,TX-10,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-11,GEN-4,TX-11,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-12,GEN-4,TX-12,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-13,GEN-5,TX-13,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-14,GEN-5,TX-14,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-15,GEN-5,TX-15,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-16,GEN-6,TX-16,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-17,GEN-6,TX-17,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-18,GEN-6,TX-18,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-19,GEN-7,TX-19,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-20,GEN-7,TX-20,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-21,GEN-7,TX-21,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-22,GEN-8,TX-22,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-23,GEN-8,TX-23,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-24,GEN-8,TX-24,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-25,GEN-9,TX-25,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-26,GEN-9,TX-26,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-27,GEN-9,TX-27,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-28,GEN-10,TX-28,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-29,GEN-10,TX-29,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-30,GEN-10,TX-30,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-31,GEN-11,TX-31,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-32,GEN-11,TX-32,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-33,GEN-11,TX-33,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-34,GEN-12,TX-34,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-35,GEN-12,TX-35,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-36,GEN-12,TX-36,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-37,GEN-13,TX-37,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-38,GEN-13,TX-38,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-39,GEN-13,TX-39,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-40,GEN-14,TX-40,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-41,GEN-14,TX-41,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-42,GEN-14,TX-42,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-43,GEN-15,TX-43,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-44,GEN-15,TX-44,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-45,GEN-15,TX-45,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-46,GEN-16,TX-46,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-47,GEN-16,TX-47,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-48,GEN-16,TX-48,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-49,GEN-17,TX-49,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-50,GEN-17,TX-50,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-51,GEN-17,TX-51,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-52,GEN-18,TX-52,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-53,GEN-18,TX-53,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-54,GEN-18,TX-54,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-55,GEN-19,TX-55,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-56,GEN-19,TX-56,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-57,GEN-19,TX-57,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-58,GEN-20,TX-58,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-59,GEN-20,TX-59,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-60,GEN-20,TX-60,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-61,GEN-21,TX-61,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-62,GEN-21,TX-62,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-63,GEN-21,TX-63,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-64,GEN-22,TX-64,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-65,GEN-22,TX-65,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-66,GEN-22,TX-66,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-67,GEN-23,TX-67,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-68,GEN-23,TX-68,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-69,GEN-23,TX-69,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,, ,
GT-70,GEN-24,TX-70,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-71,GEN-24,TX-71,Main generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-72,GEN-25,TX-72,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-73,GEN-25,TX-73,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-74,GEN-25,TX-74,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-75,GEN-26,TX-75,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-76,GEN-26,TX-76,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-77,GEN-26,TX-77,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-78,GEN-27,TX-78,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-79,GEN-27,TX-79,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-80,GEN-27,TX-80,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-81,GEN-28,TX-81,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-82,GEN-28,TX-82,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-83,GEN-28,TX-83,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-84,GEN-29,TX-84,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-85,GEN-29,TX-85,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-86,GEN-29,TX-86,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-87,GEN-30,TX-87,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-88,GEN-30,TX-88,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-89,GEN-30,TX-89,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-90,GEN-31,TX-90,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-91,GEN-31,TX-91,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-92,GEN-31,TX-92,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-93,GEN-32,TX-93,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-94,GEN-32,TX-94,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-95,GEN-32,TX-95,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-96,GEN-33,TX-96,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-97,GEN-33,TX-97,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-98,GEN-33,TX-98,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-99,GEN-34,TX-99,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-100,GEN-34,TX-100,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
Layer 2 - Transmission Lines,,,,,,,,,,,,,
Node ID,From,To,Description,Distance (km),Energy Transmitted (MWh),Voltage Level (kV),Ampacity (A),Coordinates,"Vector (x,y)",Notes,,,
TX-1,TX-1,S1,230 kV Line North,20,550,230,2800,"(5,12) → (7,14)","(2,2)",NGCP-operated,,,
TX-1,TX-1,S2,230 kV Line North,25,600,230,3000,"(5,12) → (3,16)","(-2,4)",NGCP-operated,,,
TX-2,TX-2,S3,230 kV Line Central,15,420,230,2600,"(10,5) → (12,6)","(2,1)",NGCP-operated,,,
TX-2,TX-2,S4,230 kV Line Central,18,380,230,2400,"(10,5) → (8,3)","(-2,-2)",NGCP-operated,,,
TX-3,TX-3,S5,230 kV Line South,22,400,230,2500,"(3,-15) → (5,-17)","(2,-2)",NGCP-operated,,,
TX-4,TX-4,S6,230 kV Line North,21,570,230,2850,"(7,14) → (8,15)","(1,1)",NGCP-operated,,,
TX-4,TX-4,S7,230 kV Line North,24,620,230,3100,"(7,14) → (6,16)","(-1,2)",NGCP-operated,,,
TX-5,TX-5,S8,230 kV Line Central,16,450,230,2650,"(12,6) → (13,7)","(1,1)",NGCP-operated,,,
TX-5,TX-5,S9,230 kV Line Central,19,390,230,2350,"(12,6) → (10,4)","(-2,-2)",NGCP-operated,,,
TX-6,TX-6,S10,230 kV Line South,23,410,230,2550,"(5,-17) → (6,-16)","(1,1)",NGCP-operated,,,
TX-6,TX-6,S11,230 kV Line South,20,440,230,2400,"(5,-17) → (4,-18)","(-1,-1)",NGCP-operated,,,
TX-7,TX-7,S12,230 kV Line North,19,580,230,2900,"(8,15) → (9,16)","(1,1)",NGCP-operated,,,
TX-7,TX-7,S13,230 kV Line North,22,610,230,3000,"(8,15) → (7,17)","(-1,2)",NGCP-operated,,,
TX-8,TX-8,S14,230 kV Line Central,17,430,230,2700,"(13,7) → (14,8)","(1,1)",NGCP-operated,,,
TX-8,TX-8,S15,230 kV Line Central,20,370,230,2250,"(13,7) → (12,6)","(-1,-1)",NGCP-operated,,,
TX-9,TX-9,S16,230 kV Line South,21,390,230,2500,"(6,-16) → (5,-15)","(1,1)",NGCP-operated,,,
TX-9,TX-9,S17,230 kV Line South,24,420,230,2600,"(6,-16) → (7,-17)","(1,1)",NGCP-operated,,,
TX-10,TX-10,S18,230 kV Line North,20,560,230,2800,"(5,12) → (7,14)","(2,2)",NGCP-operated,,,
TX-10,TX-10,S19,230 kV Line North,26,610,230,3000,"(5,12) → (4,15)","(-1,3)",NGCP-operated,,,
TX-11,TX-11,S20,230 kV Line Central,18,400,230,2600,"(10,5) → (11,6)","(1,1)",NGCP-operated,,,
TX-11,TX-11,S21,230 kV Line Central,21,380,230,2400,"(10,5) → (9,4)","(-1,-1)",NGCP-operated,,,
TX-12,TX-12,S22,230 kV Line South,22,430,230,2500,"(3,-15) → (5,-16)","(2,-1)",NGCP-operated,,,
TX-12,TX-12,S23,230 kV Line South,23,440,230,2400,"(3,-15) → (2,-14)","(-1,-1)",NGCP-operated,,,
TX-13,TX-13,S24,230 kV Line North,21,590,230,2900,"(5,12) → (7,13)","(2,1)",NGCP-operated,,,
TX-13,TX-13,S25,230 kV Line North,24,620,230,3100,"(5,12) → (6,14)","(-2,2)",NGCP-operated,,,
TX-14,TX-14,S26,230 kV Line Central,19,440,230,2650,"(12,6) → (13,7)","(1,1)",NGCP-operated,,,
TX-14,TX-14,S27,230 kV Line Central,22,390,230,2350,"(12,6) → (10,5)","(-2,-2)",NGCP-operated,,,
TX-15,TX-15,S28,230 kV Line South,23,410,230,2550,"(5,-17) → (6,-16)","(1,1)",NGCP-operated,,,
TX-15,TX-15,S29,230 kV Line South,20,440,230,2400,"(5,-17) → (4,-18)","(-1,-1)",NGCP-operated,,,
TX-16,TX-16,S30,230 kV Line North,19,580,230,2900,"(8,15) → (9,16)","(1,1)",NGCP-operated,,,
TX-16,TX-16,S31,230 kV Line North,22,610,230,3000,"(8,15) → (7,17)","(-1,2)",NGCP-operated,,,
TX-17,TX-17,S32,230 kV Line Central,17,430,230,2700,"(13,7) → (14,8)","(1,1)",NGCP-operated,,,
TX-17,TX-17,S33,230 kV Line Central,20,370,230,2250,"(13,7) → (12,6)","(-1,-1)",NGCP-operated,,,
TX-18,TX-18,S34,230 kV Line South,21,390,230,2500,"(6,-16) → (5,-15)","(1,1)",NGCP-operated,,,
TX-18,TX-18,S35,230 kV Line South,24,420,230,2600,"(6,-16) → (7,-17)","(1,1)",NGCP-operated,,,
TX-19,TX-19,S36,230 kV Line North,20,560,230,2800,"(5,12) → (7,14)","(2,2)",NGCP-operated,,,
TX-19,TX-19,S37,230 kV Line North,26,610,230,3000,"(5,12) → (4,15)","(-1,3)",NGCP-operated,,,
TX-20,TX-20,S38,230 kV Line Central,18,400,230,2600,"(10,5) → (11,6)","(1,1)",NGCP-operated,,,
TX-20,TX-20,S39,230 kV Line Central,21,380,230,2400,"(10,5) → (9,4)","(-1,-1)",NGCP-operated,,,
TX-21,TX-21,S40,230 kV Line South,22,430,230,2500,"(3,-15) → (5,-16)","(2,-1)",NGCP-operated,,,
TX-21,TX-21,S41,230 kV Line South,23,440,230,2400,"(3,-15) → (2,-14)","(-1,-1)",NGCP-operated,,,
TX-22,TX-22,S42,230 kV Line North,21,590,230,2900,"(5,12) → (7,13)","(2,1)",NGCP-operated,,,
TX-22,TX-22,S43,230 kV Line North,24,620,230,3100,"(5,12) → (6,14)","(-2,2)",NGCP-operated,,,
TX-23,TX-23,S44,230 kV Line Central,19,440,230,2650,"(12,6) → (13,7)","(1,1)",NGCP-operated,,,
TX-23,TX-23,S45,230 kV Line Central,22,390,230,2350,"(12,6) → (10,5)","(-2,-2)",NGCP-operated,,,
TX-24,TX-24,S46,230 kV Line South,23,410,230,2550,"(5,-17) → (6,-16)","(1,1)",NGCP-operated,,,
TX-24,TX-24,S47,230 kV Line South,20,440,230,2400,"(5,-17) → (4,-18)","(-1,-1)",NGCP-operated,,,
TX-25,TX-25,S48,230 kV Line North,19,580,230,2900,"(8,15) → (9,16)","(1,1)",NGCP-operated,,,
TX-25,TX-25,S49,230 kV Line North,22,610,230,3000,"(8,15) → (7,17)","(-1,2)",NGCP-operated,,,
TX-26,TX-26,S50,230 kV Line Central,17,430,230,2700,"(13,7) → (14,8)","(1,1)",NGCP-operated,,,
